;ERI;LOI;SAL_female;SAL_male;SIL
2008;4;2;3;4;2
2009;4;4;3;4;3
2010;4;4;3;4;4
2011;4;4;3;4;4
2012;4;4;3;4;4
2013;4;3;3;4;4
2014;4;4;3;4;4
2015;4;4;3;4;4
2016;4;4;3;4;4
2017;4;4;3;4;4
2018;4;4;3;4;4
2019;4;4;3;4;4
2020;4;4;3;4;4
