"","CAS","DRY","ERI","LOI","PAP","SAL","SAX","SIL"
"2008",0,0,4,2,0,4,0,2
"2009",0,0,4,4,0,4,0,3
"2010",0,0,4,4,0,4,0,4
"2011",0,0,4,4,0,4,0,4
"2012",0,0,4,4,0,4,0,4
"2013",0,0,4,3,0,4,0,4
"2014",0,0,4,4,0,4,0,4
"2015",0,0,4,4,0,4,0,4
"2016",0,0,4,4,0,4,0,4
"2017",0,0,4,4,0,4,0,4
"2018",0,0,4,4,0,4,0,4
"2019",0,0,4,4,0,4,0,4
"2020",0,0,4,4,0,4,0,4
